Level,Codes,Onderwerpen,Totaal bedrijven,2-100 FTE,1 FTE,2 FTE,3-5 FTE,5-10 FTE,10-20 FTE,20-50 FTE,50-100 FTE,100+ FTE
2,66,66 Overige financi�le dienstverlening,14325,4245,10035,1695,1190,830,330,155,45,45
4,7311,7311 Reclamebureaus,27555,4065,23475,1965,920,705,295,145,30,15
3,889,"889 Kinderopvang,jeugd- en welzijnswerk",20035,3985,15895,1035,850,840,665,430,170,155
2,25,25 Metaalproductenindustrie,10630,3975,6535,875,680,890,710,595,220,120
3,691,691 Rechtskundige dienstverlening,16665,3970,12665,1305,1065,925,435,195,45,30
4,6910,6910 Rechtskundige dienstverlening,16665,3970,12665,1305,1065,925,435,195,45,30
2,74,"74 Design, fotografie, vertaalbureaus",61710,3850,57840,2360,740,400,215,100,30,20
3,812,812 Schoonmaakbedrijven,13380,3795,9495,1480,845,695,400,265,105,90
3,931,931 Sport,12660,3795,8835,1445,1040,745,365,155,50,30
2,90,90 Kunst,69110,3650,65445,2190,740,405,160,125,30,15
3,900,900 Kunst,69110,3650,65445,2190,740,405,160,125,30,15
3,683,"683 Bemiddeling, beheer onroerend goed",13320,3625,9680,1685,1125,540,185,70,25,15
3,476,476 Winkels in recreatieartikelen,6470,3625,2825,1285,1320,810,155,50,5,20
3,463,463 Groothandel in voedingsmiddelen,9500,3580,5820,1185,765,675,465,375,115,100
2,55,55 Logiesverstrekking,7830,3540,4215,1430,725,630,420,255,85,75
3,642,642 Financi�le holdings,56840,3520,53320,2565,490,310,125,30,5,0
4,6420,6420 Financi�le holdings,56840,3520,53320,2565,490,310,125,30,5,0
4,4669,4669 Groothandel in overige machines,7090,3440,3575,885,710,745,555,410,135,75
5,86912,86912 Praktijken van fysiotherapeuten,8645,3215,5430,1010,970,910,280,40,5,0
4,4322,4322 Loodgieters en installatiebedrijven,9745,3170,6530,995,740,725,425,215,65,45
3,479,"479 Detailhandel, geen winkel of markt",37720,3065,34635,1955,670,270,100,55,20,20
4,4776,"4776 Bloemen-, dierenwinkels, tuincentra",5340,3010,2320,1175,1005,595,150,65,15,10
3,782,782 Uitzend- en uitleenbureaus; pools,6010,3000,2535,440,425,520,545,690,380,475
4,7820,7820 Uitzend- en uitleenbureaus; pools,6010,3000,2535,440,425,520,545,690,380,475
2,10,10 Voedingsmiddelenindustrie,5200,2965,2030,515,590,820,525,340,170,205
4,8559,8559 Overig onderwijs (rest),31645,2940,28680,1790,520,305,165,120,35,25
5,69203,69203 Boekhoudkantoren,16215,2855,13355,1580,790,385,75,25,5,5
3,439,439 Overige gespecialiseerde bouw,14985,2840,12125,1215,645,495,290,160,35,20
2,13,013 Teelt van sierplanten,4910,2780,2125,1135,715,555,250,110,15,5
3,130,0130 Teelt van sierplanten,4910,2780,2125,1135,715,555,250,110,15,5
3,662,662 Diensten op gebied van verzekeringen,7110,2755,4330,1060,810,535,215,105,35,25
3,478,478 Markthandel,11540,2750,8790,1715,725,265,40,5,0,0
2,16,016 Dienstverlening voor de landbouw,12670,2680,9980,1030,625,545,325,140,20,10
4,6831,6831 Bemiddeling in onroerend goed,8805,2675,6120,1215,890,410,115,40,5,10
3,813,813 Hoveniersbedrijven,9465,2620,6835,1000,780,535,170,105,25,10
4,8130,8130 Hoveniersbedrijven,9465,2620,6835,1000,780,535,170,105,25,10
4,8121,8121 Interieurreiniging van gebouwen,8490,2600,5820,1035,545,470,280,190,80,70
2,50,50 Vervoer over water,4820,2590,2195,1325,700,375,110,60,25,35
3,462,462 Groothandel in landbouwproducten,5850,2500,3320,920,615,495,260,160,50,30
3,461,461 Handelsbemiddeling,12635,2490,10130,1260,585,360,175,80,30,15
4,4334,4334 Schilders- en glaszetbedrijven,12790,2485,10300,1155,635,405,185,85,25,5
2,94,"94 Ide�le, belangen-, hobbyverenigingen",11990,2485,9445,640,600,560,340,240,105,60
4,4759,4759 Winkels overige huishoudartikelen,5210,2480,2710,1055,770,440,140,55,20,20
4,4649,4649 Groothandel in overige non-food,7465,2470,4960,990,590,450,245,155,40,35
3,142,0142 Rundveehouderij (geen melkvee),5570,2450,3120,1940,460,40,5,0,0,0
4,6622,6622 Assurantietussenpersonen,5225,2440,2770,900,755,490,185,85,25,15
5,69101,69101 Advocatenkantoren,8755,2425,6310,855,705,540,200,100,30,20
4,4778,4778 Winkels in overige artikelen (rest),5785,2395,3385,1135,720,405,100,25,10,5
4,4673,4673 Groothandel in bouwmaterialen,5220,2375,2810,660,585,550,310,200,70,35
4,6202,6202 Adviesbureaus op het gebied van IT,16000,2370,13575,820,470,480,325,210,70,55
3,161,0161 Diensten voor akker- en tuinbouw,9885,2325,7555,830,550,500,300,125,20,5
4,4764,4764 Winkels in vrijetijdsartikelen,4110,2320,1780,830,805,525,115,35,5,10
2,77,77 Verhuur van roerende goederen,8210,2300,5870,1040,560,350,195,115,35,40
2,52,"52 Opslag, dienstverlening voor vervoer",6935,2300,4500,615,445,465,330,305,135,135
3,471,471 Supermarkten en warenhuizen,3675,2285,1320,480,410,405,240,595,160,70
3,465,465 Groothandel in ICT-apparatuur,5680,2265,3345,560,505,520,340,260,80,70
3,682,682 Verhuur van onroerend goed,6565,2255,4240,1260,495,195,110,125,70,70
4,6820,6820 Verhuur van onroerend goed,6565,2255,4240,1260,495,195,110,125,70,70
3,452,452 Gespecialiseerde autoreparatie,6115,2235,3870,785,655,465,225,90,10,10
4,4520,4520 Gespecialiseerde autoreparatie,6115,2235,3870,785,655,465,225,90,10,10
