Level,Codes,Onderwerpen,Totaal bedrijven,2-100 FTE,1 FTE,2 FTE,3-5 FTE,5-10 FTE,10-20 FTE,20-50 FTE,50-100 FTE,100+ FTE
4,4690,4690 Niet-gespecialiseerde groothandel,3495,745,2740,395,170,115,40,25,5,10
5,66193,66193 Overige financi�le bemiddeling,1990,745,1235,265,225,175,55,20,5,10
5,18129,18129 Overige drukkerijen (rest),1390,745,635,260,160,185,80,45,15,10
2,22,22 Rubber- en kunststofproductindustrie,1320,745,500,125,120,155,130,145,80,75
4,4779,4779 Winkels in antiek en tweedehands,3180,740,2440,450,165,70,30,20,5,0
5,31011,31011 Interieurbouw,3725,735,2985,285,185,145,75,40,5,5
2,80,80 Beveiligings- en opsporingsdiensten,3110,735,2355,245,155,155,75,70,25,20
3,681,681 Handel in eigen onroerend goed,4510,730,3780,380,190,90,45,20,5,0
4,6810,6810 Handel in eigen onroerend goed,4510,730,3780,380,190,90,45,20,5,0
2,91,"91 Bibliotheken, musea en natuurbehoud",2740,730,1975,220,135,115,100,130,35,35
3,910,"910 Bibliotheken, musea en natuurbehoud",2740,730,1975,220,135,115,100,130,35,35
5,69103,69103 Notariskantoren,1365,730,635,50,190,280,165,35,5,0
4,4789,4789 Markthandel in overige non-food,5005,720,4285,525,155,30,5,0,0,0
5,42112,42112 Stratenmakersbedrijven,4150,720,3430,355,185,110,50,20,5,0
5,74201,74201 Fotografie,16530,715,15815,545,115,30,15,5,0,0
5,88101,88101 Thuiszorg,12305,715,11510,235,125,125,100,85,45,80
4,7729,7729 Verhuur overige consumentenwaren,2455,705,1745,325,190,100,55,25,10,5
5,55102,55102 Hotels (geen hotel-restaurants),2385,705,1675,365,130,105,60,30,10,5
5,46421,46421 Groothandel in bovenkleding,1980,705,1265,255,170,130,75,60,15,10
4,4519,"4519 Handel in vrachtwagens, aanhangers",1670,705,945,235,170,160,80,50,15,20
3,829,829 Overige zakelijke diensten (rest),4130,700,3405,260,140,130,70,70,30,25
4,4331,4331 Stukadoorsbedrijven,5010,695,4315,410,175,70,30,10,0,0
2,23,23 Bouwmaterialenindustrie,1905,695,1170,195,155,160,80,70,40,40
3,852,852 Basisonderwijs en speciaal onderwijs,1275,695,195,15,15,100,210,205,145,385
4,8520,8520 Basis- en speciaal onderwijs,1275,695,195,15,15,100,210,205,145,385
4,4724,"4724 Winkels in brood, banket, zoetwaren",1205,690,515,265,210,160,45,5,0,0
4,4721,4721 Groentewinkels,1025,690,335,250,250,160,25,5,0,0
5,47741,47741 Drogisterijen,930,690,235,170,230,210,50,25,0,5
4,7219,"7219 R&D natuurwetenschap, geen biotech",2460,685,1735,180,150,145,105,75,25,40
3,145,0145 Schapen- en geitenhouderij,2165,685,1480,500,150,30,5,0,0,0
5,46462,46462 Groothandel in medische artikelen,1470,685,765,155,150,140,105,95,40,20
4,4762,4762 Winkels in lectuur en schrijfwaren,960,685,275,200,295,160,20,5,0,0
3,222,222 Kunststofproductenindustrie,1215,680,465,115,105,145,115,135,70,70
5,45311,45311 Groothandel in auto-onderdelen,1600,675,910,195,165,170,85,45,15,15
5,94997,94997 Overige belangenbehartiging (rest),3250,670,2570,190,165,160,95,40,20,10
4,6312,6312 Webportals,3050,670,2380,355,165,75,45,25,5,0
4,4631,"4631 Groothandel in groenten, fruit e.d.",1430,670,735,170,155,135,110,75,30,25
5,47999,47999 Overige detailhandel,4240,665,3575,405,160,70,20,5,0,0
4,4643,4643 Groothandel consumentenapparatuur,1705,660,1025,195,170,150,70,55,20,20
4,4677,4677 Groothandel in afval en schroot,1635,660,975,200,175,155,75,40,15,0
3,552,552 Verhuur van vakantiehuisjes e.d.,1640,655,980,385,145,70,30,15,5,5
4,5520,5520 Verhuur van vakantiehuisjes e.d.,1640,655,980,385,145,70,30,15,5,5
3,282,282 Overige machine-industrie algemeen,1170,655,445,80,90,120,150,140,70,70
4,6311,"6311 Gegevensverwerking, webhosting e.d.",3360,650,2700,250,140,105,75,65,10,10
3,872,872 Huizen verstandelijk gehandicapten,1240,645,515,215,165,155,60,40,10,80
4,8720,8720 Huizen verstandelijk gehandicapten,1240,645,515,215,165,155,60,40,10,80
5,47643,47643 Winkels in sportartikelen,1180,640,535,235,215,130,35,20,5,5
4,3109,3109 Overige meubelindustrie,3450,635,2815,260,155,110,55,35,15,0
5,32501,32501 Tandtechnische bedrijven,1185,620,560,225,195,130,55,15,0,5
5,85201,85201 Basisonderwijs voor leerplichtigen,1065,620,110,15,15,95,205,170,125,335
3,473,473 Tankstations,830,620,200,115,190,155,70,65,15,10
4,4730,4730 Tankstations,830,620,200,115,190,155,70,65,15,10
4,8552,8552 Cultureel onderwijs,9110,615,8495,440,80,45,25,15,5,0
4,4621,4621 Groothandel in akkerbouwproducten,1490,615,860,190,155,135,85,40,10,15
3,411,411 Projectontwikkeling,3835,610,3220,305,145,90,50,15,5,5
4,4110,4110 Projectontwikkeling,3835,610,3220,305,145,90,50,15,5,5
4,4661,4661 Groothandel in landbouwmachines,1325,610,710,150,130,155,90,70,15,5
5,69102,69102 Rechtskundige adviesbureaus,6005,600,5405,365,125,45,35,30,0,0
4,4618,4618 Overige handelsbemiddeling,3710,600,3105,315,130,80,50,20,10,5
5,81221,81221 Glazenwassen,2640,595,2040,240,155,115,50,30,5,5
3,801,801 Particuliere beveiligingdiensten,2505,595,1890,200,130,125,60,65,20,20
4,8010,8010 Particuliere beveiligingdiensten,2505,595,1890,200,130,125,60,65,20,20
5,55201,55201 Verhuur van vakantiehuisjes,1535,595,935,355,135,65,25,15,5,5
4,9314,9314 Binnensport,1970,590,1380,290,145,105,40,10,0,0
5,93125,93125 Paardensport en maneges,1615,590,1025,255,195,110,20,5,0,0
4,9321,9321 Pret- en themaparken; kermis,1215,590,615,305,135,85,35,30,5,10
2,26,26 Elektrotechnische industrie,1465,580,845,135,85,120,100,95,45,40
5,47528,47528 Bouwmarkten,780,580,190,115,145,175,105,40,10,10
4,9604,"9604 Sauna's, solaria, baden e.d.",2755,575,2180,270,160,80,30,20,5,0
2,13,13 Textielindustrie,2000,575,1405,200,130,105,60,55,20,20
4,7911,7911 Reisbemiddelingsbureaus,2345,570,1760,260,170,85,35,15,10,15
4,4725,4725 Slijterijen,1230,565,660,325,175,55,10,0,0,5
5,43993,43993 Metsel- en voegbedrijven,4805,560,4245,330,125,65,30,10,0,0
4,4743,4743 Winkels in wit- en bruingoed,975,560,410,175,175,160,40,10,0,5
5,46311,46311 Groothandel in groenten en fruit,1215,555,640,145,130,105,85,60,25,20
4,4723,4723 Viswinkels,795,555,240,165,215,140,25,5,0,0
5,46901,46901 Groothandel consumentenwaren (alg),2680,545,2130,295,120,80,25,20,5,5
5,33123,33123 Reparatie van machines specifiek,1825,545,1275,150,125,140,95,25,5,5
5,47299,47299 Winkels in overige voeding (rest),1040,540,500,205,165,115,35,10,0,0
4,4632,4632 Groothandel in vlees,1060,530,515,180,95,95,75,75,10,15
4,4639,4639 Groothandel in voeding algemeen,1685,520,1150,180,130,100,60,35,10,15
4,4623,4623 Groothandel in levende dieren,1605,515,1090,285,130,65,25,15,0,0
3,143,0143 Paardenfokkerij,1280,515,765,350,130,30,10,5,0,0
4,4674,"4674 Groothandel metaalwaren, verwarming",1140,515,600,135,115,105,80,60,25,25
4,4634,"4634 Groothandel in dranken, geen zuivel",1845,510,1330,235,115,75,35,35,15,5
4,4782,4782 Markthandel in textiel en kleding,2630,505,2125,390,100,15,0,0,0,0
5,77299,77299 Verhuur overige consumentenwaren,1695,505,1185,230,135,75,45,20,5,5
4,4675,4675 Groothandel in chemische producten,1055,505,535,125,105,105,95,65,15,15
4,9603,9603 Uitvaartbranche,1750,500,1245,230,125,90,35,20,5,5
5,93146,93146 Sportscholen,1340,500,840,235,120,100,35,10,0,0
4,1623,1623 Timmerindustrie,1310,500,800,150,105,115,70,50,15,10
5,46696,46696 Groothandel in emballage,985,500,480,140,100,115,85,50,15,5
5,47711,47711 Winkels in herenkleding,835,500,330,215,155,95,20,10,5,5
4,9319,9319 Overige sport,2670,495,2170,210,115,75,50,35,15,5
3,649,649 Overige kredietverstrekking e.d.,2315,495,1810,205,115,65,60,30,15,10
5,46731,46731 Groothandel in hout,1025,495,525,135,120,130,55,40,15,5
5,86929,86929 Andere zorgondersteunende diensten,2975,490,2460,185,105,90,50,50,10,25
3,454,454 Handel en reparatie van motorfietsen,1710,490,1220,220,150,70,35,10,0,0
4,4540,4540 Handel en reparatie motorfietsen,1710,490,1220,220,150,70,35,10,0,0
5,46694,46694 Groothandel in appendages e.d.,885,490,380,110,90,95,85,80,30,15
4,4753,4753 Winkels in tapijt en gordijnen,860,490,365,210,170,90,15,0,0,5
4,9529,9529 Reparatie van overige artikelen,3075,485,2590,300,125,45,5,5,0,0
4,2561,2561 Oppervlaktebehandelingsindustrie,850,475,365,110,95,115,85,55,20,10
5,47241,47241 Winkels in brood en banket,715,470,245,155,145,125,40,5,0,0
5,86911,86911 Praktijken van verloskundigen,1625,465,1160,140,180,135,10,0,0,0
3,149,0149 Overige fokkerij en houderij,1140,465,675,295,125,30,10,0,0,0
2,27,27 Elektrische apparatenindustrie,1120,465,625,85,90,95,90,70,35,30
3,821,821 Administratieve dienstverlening,5800,455,5340,230,95,65,35,20,10,5
5,69201,69201 Registeraccountantskantoren,1740,455,1270,115,90,115,80,45,15,15
4,4614,4614 Handelsbemiddeling in machines,1670,455,1210,175,100,105,45,25,10,5
5,46383,46383 Groothandel in overige voeding,1520,455,1055,175,85,80,50,45,15,10
5,46231,46231 Groothandel in levend vee,1405,455,950,255,110,55,20,10,0,0
4,9601,9601 Wasserijen,1040,455,575,200,115,70,40,25,10,10
3,712,712 Keurings- en controlediensten,1620,450,1140,155,105,80,40,45,20,30
4,7120,7120 Keurings- en controlediensten,1620,450,1140,155,105,80,40,45,20,30
3,289,289 Overige machine-industrie specifiek,885,450,380,65,60,80,100,105,45,55
5,96031,96031 Uitvaartverzorging,1610,445,1160,210,115,80,25,10,5,5
5,46471,46471 Groothandel in huismeubilair,1245,445,800,195,100,90,35,20,5,0
5,86922,86922 Arbobegeleiding en re-integratie,2440,440,1990,180,105,70,45,35,5,10
5,88993,88993 Lokaal welzijnswerk,1670,440,1205,100,105,80,65,55,30,25
3,139,139 Overige textielproductenindustrie,1555,440,1100,160,95,85,45,45,20,15
2,30,30 Overige transportmiddelenindustrie,1310,440,835,140,85,95,55,40,25,35
5,47811,47811 Markthandel in groenten en fruit,910,440,470,220,150,60,10,0,0,0
4,6492,6492 Overige kredietverstrekking,1965,430,1525,180,100,55,50,25,15,10
5,46741,46741 Groothandel in metaalwaren,920,430,470,110,95,80,70,55,25,20
5,42111,42111 Wegenbouw,1260,420,815,90,65,90,80,70,25,25
2,20,20 Chemische industrie,805,420,295,60,50,65,70,100,70,90
5,47793,47793 Winkels tweedehands (geen kleding),1670,415,1255,225,100,45,25,20,5,0
5,47762,47762 Tuincentra,560,415,135,85,95,100,65,55,15,10
5,74103,74103 Interieur en ruimtelijk ontwerp,6830,410,6420,280,65,40,20,10,0,0
5,33121,33121 Reparatie van machines algemeen,1790,410,1370,120,80,90,55,55,15,10
4,7739,7739 Verhuur van overige goederen,1760,405,1345,190,105,50,35,15,10,10
3,332,332 Installatie van industri�le machines,1360,405,940,85,90,85,65,45,30,15
5,47914,47914 Webwinkels in kleding,8090,400,7690,280,75,20,10,10,5,0
5,85522,85522 Kunstzinnige vorming van amateurs,7325,400,6925,270,45,30,25,15,5,0
5,93119,93119 Overige sportaccommodaties,820,400,415,105,105,95,55,25,10,5
5,47918,47918 Webwinkels in overige non-food,7300,395,6895,245,85,40,15,10,5,10
5,47899,47899 Markthandel in overige goederen,3410,395,3015,320,70,5,0,0,0,0
4,5629,5629 Kantines en contractcatering,1145,395,735,205,110,50,20,5,0,15
5,45192,"45192 Handel, reparatie van vrachtwagens",930,395,515,125,85,95,45,30,15,20
4,7021,7021 Public relationsbureaus,2830,390,2440,180,85,60,45,20,0,0
3,422,422 Buizen- en kabelleggers,1440,390,1025,130,95,65,45,40,10,25
2,38,38 Afvalbehandeling en recycling,855,390,420,70,60,80,80,65,35,45
4,5811,5811 Uitgeverijen van boeken,1725,385,1330,185,70,70,30,25,5,10
4,7912,7912 Reisorganisatiebureaus,1290,385,900,165,85,50,40,30,5,5
5,46739,46739 Groothandel bouwmateriaal algemeen,915,385,515,100,95,80,55,35,20,15
5,46751,46751 Groothandel in chemische grondstof,785,385,385,95,80,85,70,45,10,15
5,77399,77399 Verhuur van overige goederen,1675,380,1285,180,100,50,30,15,10,10
2,61,61 Telecommunicatie,1210,380,810,130,75,85,35,35,25,20
5,93212,93212 Kermisattracties,900,380,520,260,95,25,0,0,0,0
5,47915,47915 Webwinkels huis- en tuinartikelen,4995,375,4620,255,75,30,10,5,0,0
4,8299,8299 Overige zakelijke diensten (rest),3150,375,2765,170,80,60,30,30,5,10
4,5221,5221 Dienstverlening voor landvervoer,1525,375,1140,180,80,60,30,20,10,10
4,4329,4329 Overige bouwinstallatiebedrijven,1475,375,1080,110,85,75,55,40,15,20
5,94993,94993 Fondsen (niet voor welzijnszorg),2025,370,1650,105,95,75,45,35,10,5
5,45402,45402 Detailhandel in motorfietsen,1260,370,890,170,115,50,30,5,0,0
3,259,259 Overige metaalproductenindustrie,840,370,450,80,55,90,60,70,20,20
4,4672,4672 Groothandel in metaal en erts,750,370,365,85,80,85,55,45,20,15
4,4339,4339 Overige afwerking van gebouwen,1425,365,1060,160,100,65,25,10,0,0
4,8129,8129 Overige reiniging,1330,365,955,135,85,70,40,25,15,10
4,4665,4665 Groothandel in bedrijfsmeubels,765,365,400,110,90,70,55,30,5,0
3,521,521 Opslag,760,365,370,85,65,70,60,60,30,25
4,5210,5210 Opslag,760,365,370,85,65,70,60,60,30,25
4,2229,2229 Overige kunststofproductenindustrie,630,365,250,70,65,70,65,70,25,15
5,47525,47525 Winkels in keukens,610,365,240,120,115,80,30,15,5,5
2,29,29 Auto- en aanhangwagenindustrie,710,360,320,65,65,85,65,60,20,30
5,16231,16231 Houten deuren- en ramenindustrie,795,355,435,105,75,85,45,35,10,5
4,4662,4662 Groothandel gereedschapswerktuigen,700,355,340,75,95,90,60,35,5,5
3,301,301 Scheepsbouw,1010,350,640,120,75,75,45,25,20,20
5,46695,46695 Groothandel in meetapparaten,620,350,260,75,85,75,55,45,15,10
4,5814,5814 Uitgeverijen van tijdschriften,1035,345,680,130,65,65,35,30,15,10
3,108,108 Overige voedingsmiddelenindustrie,805,345,415,65,65,70,60,55,40,45
5,47291,47291 Winkels in kaas,505,345,160,155,130,55,5,0,0,0
3,743,743 Vertaalbureaus en tolken,7440,340,7100,245,40,25,20,5,5,0
4,7430,7430 Vertaalbureaus en tolken,7440,340,7100,245,40,25,20,5,5,0
5,32502,32502 Medische instrumentenindustrie,655,340,305,95,65,80,55,35,10,10
4,9102,9102 Musea en expositieruimten,1320,335,975,120,75,45,35,40,15,10
3,162,0162 Diensten voor veeteelt en fokkerij,2705,330,2375,190,70,40,20,10,0,0
5,64301,64301 Belegging in financi�le activa,2545,330,2215,180,70,45,15,10,5,0
3,941,941 Werkgevers- en beroepsorganisaties,2245,330,1900,60,80,75,65,30,20,15
5,71202,71202 Keuringsdiensten van machines e.d.,1165,330,815,125,90,65,20,25,10,20
5,72192,72192 Technische research,1050,330,700,85,70,70,50,45,15,20
5,46496,46496 Groothandel in sportartikelen,1035,330,700,125,95,55,30,20,5,5
4,4645,4645 Groothandel in parfums en cosmetica,965,330,630,125,60,70,30,25,15,5
5,47293,47293 Winkels in buitenlandse voeding,640,325,315,165,85,55,20,5,0,0
4,2829,2829 Overige machine-industrie algemeen,575,325,225,45,45,65,80,55,35,25
5,47521,47521 Winkels in ijzerwaren,525,325,200,100,100,100,25,5,0,0
4,6612,6612 Effectenmakelaars en adviseurs,1975,320,1650,155,65,50,30,20,0,5
5,94996,94996 Overige ide�le organisaties (rest),1010,320,685,70,80,75,45,35,20,5
3,503,503 Binnenvaart (passagiersvaart),840,320,515,160,75,55,20,15,5,5
4,5030,5030 Binnenvaart (passagiersvaart),840,320,515,160,75,55,20,15,5,5
5,47716,47716 Winkels in onderkleding,580,320,260,140,100,50,25,5,0,0
5,64923,64923 Participatiemaatschappijen,1645,315,1330,145,75,35,35,15,5,0
5,68203,68203 Verhuur van overige woonruimte,1095,315,780,175,60,40,20,15,5,0
4,9523,9523 Reparatie van schoenen,745,315,430,195,95,20,5,0,0,0
4,4668,"4668 Groothandel druk-, voedingsmachines",635,310,325,85,65,75,45,30,10,0
5,82999,82999 Overige zakelijke diensten (rest),2960,305,2650,155,60,40,25,20,5,5
2,14,14 Kledingindustrie,2190,305,1885,145,75,45,25,10,0,0
4,4616,4616 Handelsbemiddeling in kleding,1535,305,1230,185,75,35,5,5,0,0
5,47992,47992 Straathandel,1090,305,785,200,80,25,5,0,0,0
5,47714,47714 Winkels in baby- en kinderkleding,780,305,475,180,85,25,10,0,0,0
5,18123,18123 Drukkerijen van reclame,540,305,235,100,50,60,50,30,10,0
5,47597,47597 Winkels in huishoudwaren algemeen,525,305,215,115,110,70,10,5,0,5
3,141,141 Kledingindustrie (geen bontkleding),2130,300,1830,145,75,45,25,10,0,0
1,3,03 Visserij,940,300,635,145,115,25,5,5,0,5
4,1392,1392 Textielwarenindustrie,895,300,590,120,75,60,25,20,5,5
4,3315,3315 Reparatie van schepen,1265,295,960,120,60,55,40,15,5,10
5,47432,47432 Winkels in wit- en bruingoed samen,450,295,150,85,95,90,25,5,0,5
5,90012,90012 Producenten van podiumkunst,2730,290,2440,180,55,30,15,10,0,0
3,592,592 Maken en uitgeven van geluidsopnamen,2370,290,2080,170,70,30,10,5,0,0
4,5920,5920 Maken en uitgeven geluidsopnamen,2370,290,2080,170,70,30,10,5,0,0
3,853,853 Voortgezet onderwijs,1685,290,1100,70,40,40,30,50,55,295
4,4644,"4644 Groothandel aardewerk, wasmiddelen",845,290,550,125,55,55,30,15,5,5
4,4765,4765 Speelgoedwinkels,660,290,365,115,105,65,5,5,0,5
4,9524,9524 Reparatie en stoffering van meubels,1540,285,1255,175,65,35,15,0,0,0
4,7721,7721 Verhuur van recreatieartikelen,1105,285,820,165,70,30,15,5,0,0
5,64302,64302 Belegging in vaste activa,1810,280,1530,140,80,35,10,5,0,0
2,35,35 Energiebedrijven,985,280,675,110,75,40,30,20,5,30
4,2599,2599 Overige metaalproductenindustrie,655,280,370,65,45,65,45,45,15,5
5,68201,68201 Woningbouwverenigingen,405,280,65,20,20,40,50,90,60,60
3,663,663 Vermogensbeheer,1685,275,1410,135,75,45,15,5,0,0
4,6630,6630 Vermogensbeheer,1685,275,1410,135,75,45,15,5,0,0
5,46772,46772 Groothandel in schroot,985,275,710,100,60,65,30,15,5,0
3,771,771 Verhuur en lease van auto's,930,275,640,105,70,55,25,20,5,15
4,4741,4741 Winkels in computers en software,920,275,640,130,85,45,5,5,0,5
3,255,"255 Smederijen, profielwalserijen e.d.",490,275,200,50,35,60,65,40,25,15
4,2550,"2550 Smederijen, profielwalserijen e.d.",490,275,200,50,35,60,65,40,25,15
5,47522,47522 Winkels in verf en behang,425,275,150,105,95,55,20,0,0,0
4,7312,7312 Handel in advertentieruimte,1495,270,1220,145,55,25,20,15,5,5
5,93195,93195 Organisatie van sportevenementen,1460,270,1190,125,65,45,25,10,0,0
3,351,351 Energiebedrijven,970,270,670,105,70,40,30,20,5,30
5,45203,45203 Reparatie van auto-onderdelen,960,270,690,105,105,45,10,5,0,0
4,9491,9491 Levensbeschouwelijke organisaties,885,270,615,90,75,55,35,15,0,0
4,3012,3012 Scheepsbouw (recreatieschepen),780,270,500,95,60,60,30,15,5,10
4,4754,4754 Winkels elektr. huishoudapparatuur,590,270,320,120,95,45,5,0,0,0
4,4761,4761 Boekenwinkels,510,270,240,90,95,60,15,10,0,0
4,4311,4311 Sloopbedrijven,1045,265,775,70,55,65,50,25,10,5
5,94995,94995 Overige koepels en adviesorganen,810,265,535,45,45,55,35,50,30,10
5,47431,47431 Winkels in bruingoed,525,265,260,95,80,70,10,5,0,0
5,46692,46692 Groothandel in koeling en airco,515,265,245,50,60,65,50,25,15,5
4,8211,8211 Brede administratieve diensten,3085,260,2825,125,65,35,20,10,5,0
4,4532,4532 Detailhandel in auto-onderdelen,805,260,545,110,80,45,20,5,0,0
4,7732,7732 Verhuur van bouwmachines,700,260,435,85,50,55,35,25,5,5
4,4742,4742 Winkels in communicatieapparatuur,665,260,405,120,85,40,10,5,0,0
5,46461,46461 Groothandel in farmaceutica,620,260,330,65,45,45,40,50,20,30
5,45202,45202 Bandenservicebedrijven,550,260,290,80,95,50,15,15,0,0
5,46722,46722 Groothandel in ferrometalen,510,260,240,55,55,60,40,35,15,10
5,86923,86923 Preventieve gezondheidszorg,1715,255,1435,125,55,30,20,15,10,25
4,4222,4222 Kabelleggers,1015,255,740,95,60,40,25,25,5,20
3,619,619 Overige telecommunicatie,875,255,615,95,55,50,25,15,10,5
4,6190,6190 Overige telecommunicatie,875,255,615,95,55,50,25,15,10,5
5,52109,"52109 Distributiecentra, overige opslag",550,255,280,65,50,45,40,35,20,15
5,46382,46382 Groothandel in vis,480,255,220,50,50,60,40,40,10,5
5,46691,46691 Groothandel in intern transport,455,255,190,60,35,55,50,45,10,10
5,46771,46771 Groothandel in autosloopmateriaal,405,255,150,75,95,60,15,5,0,0
5,94911,94911 Religieuze organisaties,775,250,525,80,65,50,35,15,0,0
5,47717,47717 Winkels in modeartikelen,680,250,430,125,70,35,10,5,0,0
4,2899,2899 Overige machine-industrie specifiek,535,250,265,40,30,55,55,50,15,20
5,74102,74102 Industrieel en productontwerp,3710,245,3460,140,55,30,10,5,5,5
5,93121,93121 Veldvoetbal,1610,245,1355,115,65,35,15,10,5,10
5,46433,46433 Groothandel in bruingoed,645,245,395,65,80,45,25,20,10,5
5,46218,46218 Groothandel in akkerbouw algemeen,570,245,320,80,65,55,30,15,5,5
3,292,"292 Carrosserie-, aanhangwagenindustrie",415,245,160,35,35,60,45,50,20,10
4,2920,"2920 Carrosserie-, aanhangwagenindustrie",415,245,160,35,35,60,45,50,20,10
3,823,"823 Organisatie van congressen, beurzen",1190,240,945,110,50,40,20,15,5,5
4,8230,"8230 Organisatie van congressen, beurzen",1190,240,945,110,50,40,20,15,5,5
4,4611,4611 Bemiddeling in landbouwproducten,900,240,660,125,65,35,10,5,5,0
4,3322,3322 Installatie van industriemachines,675,240,425,50,60,55,45,20,15,10
5,47527,47527 Winkels in overig bouwmateriaal,475,240,235,90,80,55,15,5,0,0
5,47292,47292 Winkels in natuurvoeding,450,240,210,75,85,50,25,5,0,0
4,4942,4942 Verhuisvervoer,555,235,315,50,45,35,70,30,5,5
4,4671,4671 Groothandel in olie en steenkool,470,235,220,50,50,55,35,35,10,15
5,47911,47911 Webwinkels in voeding,2685,230,2455,125,55,25,10,5,5,0
4,6203,6203 Beheer van computerfaciliteiten,1445,230,1215,95,55,40,25,15,5,0
5,47791,47791 Winkels in antiek,1010,230,780,170,45,20,0,0,0,0
4,7711,7711 Verhuur en lease van personenauto's,710,230,465,75,60,50,20,20,5,15
3,101,101 Slachterijen en vleeswarenindustrie,575,230,305,45,40,50,40,35,20,40
5,86232,86232 Praktijken tandheelspecialisten,570,230,340,35,40,110,35,10,0,0
5,46682,46682 Groothandel machines voor voedsel,490,230,260,65,50,55,30,25,5,0
5,93112,93112 Sporthallen en -zalen,465,230,230,55,55,50,40,20,10,5
5,64303,64303 Belegging met beperkte toetreding,4775,225,4550,145,30,20,15,5,0,0
4,4619,4619 Algemene handelsbemiddeling,1745,225,1520,130,50,25,10,5,0,0
5,47783,47783 Winkels in kunstvoorwerpen,930,220,710,165,40,10,5,0,0,0
4,4939,4939 Overig personenvervoer over de weg,805,220,570,65,30,45,40,30,15,15
2,31,031 Visserij,770,220,545,125,80,10,0,5,0,5
5,46473,46473 Groothandel in verlichting,715,220,495,75,50,45,25,15,5,0
5,47242,47242 Winkels in chocolade en suikerwerk,490,220,270,110,65,35,10,0,0,0
4,4633,"4633 Groothandel zuivel, vetten, eieren",485,220,255,60,45,50,35,20,10,10
3,265,265 Meetapparaten- en uurwerkindustrie,450,220,210,40,35,45,40,45,20,20
3,236,"236 Beton-, gips-, cementwarenindustrie",445,220,205,30,45,45,40,40,20,20
5,46693,46693 Groothandel in motoren en pompen,400,220,170,35,55,40,45,30,15,10
5,88992,88992 Maatschappelijk werk,2435,215,2210,90,50,35,25,10,10,10
5,85521,85521 Dansscholen,1785,215,1570,165,40,10,0,0,0,0
4,1413,1413 Overige bovenkledingindustrie,1725,215,1510,110,55,30,15,5,0,0
3,873,873 Huizen lichamelijk gehandicapten,485,215,100,25,25,25,50,40,50,170
4,8730,8730 Huizen lichamelijk gehandicapten,485,215,100,25,25,25,50,40,50,170
4,2651,"2651 Meet-, en regelapparatenindustrie",395,215,165,35,30,45,40,40,20,15
5,47919,47919 Webwinkels algemeen assortiment,3170,210,2955,130,35,20,15,5,0,5
5,46902,46902 Groothandel bedrijfsgoederen (alg),820,210,610,100,50,35,15,5,0,0
3,774,774 Exploitatie van patenten,670,210,455,95,35,35,25,20,5,5
4,7740,7740 Exploitatie van patenten,670,210,455,95,35,35,25,20,5,5
3,879,879 Welzijnszorg met overnachting,535,210,275,90,40,30,20,20,10,50
4,8790,8790 Welzijnszorg met overnachting,535,210,275,90,40,30,20,20,10,50
3,237,237 Natuursteenbewerkende industrie,395,210,185,65,60,55,20,5,5,0
4,2370,2370 Natuursteenbewerkende industrie,395,210,185,65,60,55,20,5,5,0
5,47781,47781 Winkels in fotografische artikelen,350,210,140,105,65,30,10,0,0,0
5,93211,93211 Pret- en themaparken,315,210,95,45,40,55,35,30,5,10
3,321,321 Munten- en sieradenindustrie,1795,205,1590,135,45,20,5,0,0,0
4,4617,4617 Handelsbemiddeling in voeding,1190,205,985,110,45,25,15,5,5,0
4,4615,4615 Handelsbemiddeling huishoudwaren,910,205,705,125,50,15,5,5,0,0
5,46472,"46472 Groothandel woningtextiel, tapijt",490,205,285,60,55,45,25,15,5,0
3,257,"257 Bestek-, gereedschapindustrie e.d.",405,205,190,40,40,40,35,35,15,10
3,281,"281 Motoren-, pompen- e.d. industrie",380,205,145,25,25,40,45,45,20,30
2,84,84 Openbaar bestuur en overheidsdiensten,755,200,135,5,5,20,15,45,110,420
5,72193,72193 Medische research (geen biotech),710,200,500,50,45,40,35,20,5,10
5,47891,47891 Markthandel in bloemen en planten,625,200,425,105,70,25,0,0,0,0
5,91021,91021 Musea,595,200,385,30,55,30,30,40,15,10
5,47526,47526 Winkels in vloeren,555,200,355,95,55,40,10,0,0,0
4,4663,4663 Groothandel in bouwmachines,505,200,300,55,40,50,25,25,5,5
5,70101,70101 Interne concerndiensten,395,200,150,25,25,40,40,40,30,45
5,74101,74101 Grafisch ontwerp,7490,195,7295,110,50,20,5,5,0,0
5,47916,47916 Webwinkels in vrijetijdsartikelen,2840,195,2645,135,45,10,5,5,0,0
4,8219,8219 Secretari�le dienstverlening,2715,195,2515,105,35,30,15,10,5,5
4,3511,3511 Productie van elektriciteit,705,195,505,90,50,30,10,10,5,5
5,49391,49391 Ongeregeld personenwegvervoer,620,195,420,55,25,35,35,25,15,5
5,46422,46422 Groothandel in werkkleding,470,195,275,75,55,30,20,5,0,0
2,92,92 Loterijen en kansspelen,435,195,235,65,45,45,20,20,5,5
3,920,920 Loterijen en kansspelen,435,195,235,65,45,45,20,20,5,5
4,9200,9200 Loterijen en kansspelen,435,195,235,65,45,45,20,20,5,5
3,951,951 Reparatie van computers en telecom,2045,190,1850,105,50,20,10,5,5,5
5,93291,93291 Jachthavens,385,190,195,75,65,35,10,5,0,0
3,125,0125 Teelt van overige vruchten,340,190,150,65,35,50,25,10,5,0
